Employee_no,Surname,Given_name,Gender,City,Age,Year_joined,Phone_no,Social_insurance_no
46,Stutts,Belle,F,Surrey,32,2013,9027409603,414750226
47,Bryant,John,M,Vancouver,30,2007,6132177809,467205880
48,Nolan,John,M,Squamish,46,2012,4033146473,883376458
49,Allison,Connie,F,Good Hope Lake,27,2005,6047015902,542242057
50,McAllister,Greg,M,Vancouver,26,2003,3067490717,856764827
51,Murry,Adam,M,Burnaby,30,2002,4186532780,509196575
52,Price,David,M,Penticton,49,2011,4032773187,764190315
53,McCoy,Corey,M,New Westminster,25,2009,3065398996,407109543
54,Baker,Linda,F,Nanaimo,47,2014,6042093321,477208498
55,Shultz,Charles,M,Abbotsford,33,2017,6132393781,792032973
56,Medina,Bonita,F,Sidney,28,2003,3068277995,541570659
57,Houston,Harold,M,Coquitlam,33,2017,6046367112,152840973
58,Mejia,James,M,Chilliwack,30,2015,4039232437,732523769
59,Bates,Charles,M,Okanagan Mission,29,2014,4187074902,939391703
60,Ross,Robert,M,New Westminster,35,2010,4031903710,305065468
61,Heller,Joseph,M,Ganges,42,2012,4167099991,534461586
62,Murray,Faye,F,Vancouver,49,2010,4036674852,930273767
63,Allen,Michelle,F,Prince George,41,2011,6139745035,613387862
64,Jones,Harvey,M,Atlin,25,2013,2045668171,863203777
65,Nystrom,Jane,F,Kamloops,47,2010,4186701323,433856233
66,Albright,Paul,M,Whistler,29,2003,9028410256,717846241
67,Lovely,Janet,F,Surrey,35,2016,6043167180,236320872
68,Strayhorn,Billie,F,Vancouver,28,2009,6138146565,996195148
69,Jones,Tammy,F,Spences Bridge,30,2018,9026438786,946200620
70,Gay,Donald,M,Vancouver,44,2006,2046347504,951115300
71,Green,Earnest,M,New Westminister,46,2002,4167168298,311954796
72,Riley,Wendy,F,Gibsons,43,2018,9029546115,714121700
73,Malizia,Randall,M,Vernon,31,2014,6135603920,538300199
74,Lopez,Florence,F,Burnaby,47,2015,4184154134,113817362
75,Howell,Carol,F,Fauquier,33,2013,9023687670,122241266
76,Chico,Joyce,F,Victoria,34,2017,9025417444,773964851
77,White,Anthony,M,Kamloops,30,2002,4032968069,467222365
78,Smith,Danny,M,Vancouver,34,2010,3064906756,593592268
79,Porter,Ana,F,Mackenzie,48,2005,6137069609,858578410
80,Depaz,Shari,F,New Westminster,33,2004,2044654320,642678530
81,Witkowski,Alice,F,Squamish,25,2008,9021644701,615239420
82,Alvarez,Kenneth,M,Nanaimo,49,2009,4035636001,729807590
83,Morales,Soledad,F,Gold Bridge,43,2013,6133885343,784893225
84,Burden,Alexis,F,Penticton,39,2017,6136716305,323698586
85,Dyal,William,M,Victoria,30,2004,2042922664,377940139
86,Hayden,Kenneth,M,New Westminster,46,2005,4032951909,686630528
87,Caban,Joshua,M,Vancouver,38,2016,4034818821,149442425
88,Knight,Mildred,F,Vancouver,34,2018,9029886919,502562903
89,Thurmond,Linda,F,Duncan,42,2014,5143833125,647408082
90,Monroe,Terra,F,Kelowna,37,2007,3068161165,521056987
91,Velez,Colleen,F,Good Hope Lake,33,2017,5149746701,394139587
92,Martin,Lisa,F,Vancouver,37,2017,4035013338,201928596
93,Godfrey,Ramon,M,Victoria,37,2010,2046020893,788100687
94,Jackson,Monica,F,Fort Fraser,37,2009,4037099817,472255095
95,Craig,Cristina,F,Victoria,28,2013,5148517669,383102482
96,Schooley,Daniel,M,Nelson,45,2011,3064653115,823256874
97,Wireman,Jacquie,F,New Westminster,25,2015,6134935975,905068219
98,Tripp,Simone,F,Kamloops,25,2009,6045116527,737512923
99,Cousins,Jessica,F,Kaslo,36,2011,5145415390,230987624
100,Drake,Mildred,F,Burnaby,26,2014,9026515281,345578790
101,Gilreath,Mary,F,Victoria,25,2004,6139674762,218647061
102,Lundin,Edwina,F,New Westminster,43,2008,4188667070,410342312
103,Gleason,Esther,F,Vancouver,30,2005,9028267811,536873529
104,Sharma,Donald,M,Nanaimo,40,2003,2041861794,613931567
105,Hash,Yvonne,F,Victoria,49,2005,2042827995,724772613
106,Harris,Arnold,M,Creston,49,2002,4168176165,565141976
107,Massey,Christie,F,Wynndel,31,2007,6044235953,331509081
108,Webber,Hobert,M,Muncho Lake,49,2013,2045626718,657623014
109,Edmondson,Cynthia,F,Burnaby,29,2016,4189277690,322127521
110,Paschall,Marjorie,F,Muncho Lake,28,2007,6046917901,849891460
111,Johnson,Dexter,M,New Westminster,36,2016,4181895322,848167718
112,Fox,Keith,M,Creston,43,2007,9029157503,227765193
113,Kamen,Alan,M,Kitimat,27,2007,4034256965,399885011
114,Ogden,Nancy,F,Lac La Hache,42,2002,3061624792,960195595
115,Ervin,Patricia,F,Armstrong,46,2013,6134950915,212995258
116,Clark,Pauline,F,Victoria,47,2015,4163038032,557510383
117,Andrews,Debra,F,New Westminster,43,2014,9021642433,284435076
118,Calderon,Sybil,F,Aldergrove,27,2012,6131643946,192830734
119,Torres,Lee,M,Vancouver,49,2016,3064344050,269460968
120,Ward,James,M,Abbotsford,46,2010,3063843269,858812117
121,Browning,Christiane,F,Duncan,36,2010,6044779726,397380806
122,Wurth,William,M,Duncan,38,2009,3068069823,698751748
123,Prescott,Wesley,M,Quesnel,48,2018,4188832332,226478827
124,Dunham,Ligia,F,Hixon,42,2008,4165707271,288394157
125,Garrett,Steve,M,Fauquier,45,2010,3067991988,186320454
126,Alexander,Tyrone,M,Surrey,38,2010,6133060137,596617640
127,Cheek,Mary,F,Wynndel,47,2008,2041777909,769557725
128,Ackerman,Carrie,F,Vancouver,30,2004,4031482607,766529489
129,Johnson,Patricia,F,Ocean Falls,30,2002,5142629017,843113714
130,Haley,Carey,M,West Vancouver,38,2013,6138821954,506486236
131,Hall,Maria,F,Vallican,49,2013,4038157816,289533980
132,Bunch,Terra,F,North Pender Island,49,2006,3068750326,303059010
133,Martin,Terry,M,Victoria,36,2002,2048850598,928762026
134,Bass,Brian,M,Montney,32,2015,2049224348,945366224
135,Wagner,Robert,M,Vancouver,38,2003,6044548867,330740824
136,McBride,Joanne,F,Ganges,29,2012,4165549417,325999452
137,Johnson,Paul,M,Vancouver,25,2004,4182059819,603317886
138,Cook,Anthony,M,Vancouver,27,2003,6042110002,148921863
139,Loch,Dean,M,North Vancouver,46,2014,4162355076,953142075
140,Defoor,James,M,Prince George,47,2014,9027733066,737060240
141,Wadlington,Arthur,M,Burns Lake,35,2007,4189360738,492382512
142,Harte,Vanessa,F,Midway,43,2015,6134245156,706879809
143,Galindo,Zachary,M,Victoria,43,2004,2045553465,156606210
144,Reardon,Kenneth,M,Vancouver,34,2014,6131294470,280774834
145,Flores,Doris,F,Vancouver,36,2006,6138780720,755724913
146,Busch,Alice,F,Vancouver,42,2018,4185576772,356024813
147,Phillips,Alfredo,M,Westwold,38,2005,4183264001,439450621
148,Lopez,Christopher,M,Victoria,37,2004,4188166525,404409454
149,Fernandez,Emma,F,Vancouver,44,2004,9029993816,558910311
150,Westling,Sharonda,F,Vananda,36,2012,6047550858,309167389
151,Pelletier,Ronald,M,Terrace,40,2011,6138652014,951836442
152,Chacon,William,M,Vancouver,48,2013,2047225865,356826090
153,Petty,Leland,M,New Westminster,39,2018,4189603238,418799892
154,Whitmire,Ernestine,F,Vancouver,28,2006,4184393532,874690798
155,Rivers,Matthew,M,Victoria,25,2013,2042760029,484173263
156,Meyers,Kim,F,Golden,34,2003,4182425557,233165329
157,Hebert,Sheree,F,Port Coquitlam,48,2003,4032200245,151317536
158,Jacques,Pearl,F,Vernon,40,2018,2047883018,497967221
159,Valdez,Gabriela,F,Hixon,27,2017,4038462249,720738585
160,Vidrine,Harold,M,Sechelt,29,2009,4035132608,426262153
161,Carbone,Edith,F,Vancouver,32,2018,4036769184,251906513
162,Hernandez,Leonard,M,New Westminster,43,2012,9028944055,340863899
163,Campbell,Frank,M,White Rock,43,2007,5147626697,438040379
164,Raley,Charlie,M,Aldergrove,47,2016,6048622327,728033337
165,Rayfield,Robert,M,Vancouver,40,2002,3062498848,575882109
166,Shea,Melinda,F,Richmond,29,2002,9024465543,167728011
167,Coleman,David,M,Muncho Lake,30,2015,4165680811,663186413
168,Haynes,Patrick,M,Whistler,45,2004,3062848592,479347383
169,Bonilla,Frederick,M,Surrey,29,2009,5146246255,592992320
170,Tobin,Sonia,F,Vancouver,35,2007,4034958158,538451952
171,Wood,Denise,F,Logan Lake,49,2009,9025287089,644228569
172,Guajardo,Cynthia,F,Summerland,30,2016,6046602024,341450196
173,Marshall,Caroline,F,Victoria,44,2005,4164982155,851218975
174,Ray,James,M,Prince George,32,2016,9027324922,940128379
175,Baum,Stephanie,F,Vancouver,30,2008,4167684567,901393790
176,Dubin,Joesph,M,Kelowna,40,2009,9025134806,441949756
177,Giles,Sarah,F,New Westminster,37,2018,3063743642,782066516
178,Layman,Angelica,F,Victoria,41,2017,5144891130,773268512
179,Martin,Michaela,F,Victoria,34,2006,6131466178,797038428
180,Williams,Michael,M,North Vancouver,27,2014,4035506437,387079861
181,Hoyt,Arnold,M,West Vancouver,27,2011,5144886347,215036900
182,Belliveau,Tina,F,Victoria,25,2007,5148680867,462051317
183,Hoffman,Marvin,M,Langley,43,2015,5145828700,297559845
184,Slavin,Paul,M,Port Coquitlam,34,2012,3065195161,703715689
185,Rosenfeld,Mary,F,Victoria,40,2006,6046834865,223647492
186,Bryan,Larry,M,Vancouver,44,2013,4186786525,788303902
187,Hines,Oswaldo,M,Kamloops,48,2003,4186925977,900128653
188,Finley,Anna,F,Vancouver,32,2014,2044849867,825006387
189,McCaffery,Francis,M,Victoria,26,2010,4038809793,501787911
190,Ditch,Diana,F,New Westminster,43,2006,2046474995,764412185
191,Foster,Bonnie,F,Vancouver,34,2009,4161657896,249066959
192,Mitchell,Mary,F,Chilliwack,39,2009,3065506081,912105594
193,Peterson,Brenda,F,Huntingdon,39,2018,5146865952,637081023
194,Stokley,George,M,Nelson,47,2014,2046337813,627967462
195,Hauser,Harold,M,Burnaby,47,2012,6046495779,665367066
196,Russell,James,M,Nanaimo,30,2003,6041412045,189343906
197,Mott,Daniel,M,Yale,36,2014,6041621861,818524018
198,Fernandez,Michael,M,Aiyansh,36,2014,5146710034,846314142
199,Burton,Norman,M,Richmond,28,2016,5144415883,915417268
200,Forrest,Tamara,F,Penticton,40,2007,9023485478,724129213
201,Britt,Robert,M,Richmond,40,2010,4169781477,877484692
202,Bennett,Jimmy,M,Victoria,38,2004,4031213525,481171106
203,Watkins,Caitlin,F,Haney,38,2002,6046427228,713611474
204,Wann,Amy,F,New Westminster,31,2007,4169750698,668533888
205,Roberson,Dennis,M,Kamloops,25,2018,4161757914,883159617
206,Moore,Francis,M,Surrey,25,2010,6131875180,411730249
207,Johnson,Philip,M,Richmond,36,2011,6048032987,617644509
208,Parker,Karen,F,Nelson,26,2008,4035013223,593194880
209,Skipper,Maria,F,Bowen Island,31,2007,6043402294,859526162
210,Klein,Jennifer,F,Vancouver,28,2011,5147436162,748666775
211,Vaughn,Robert,M,Fort Langley,36,2017,4163930361,222611285
212,Anthony,Juan,M,Clinton,39,2018,4184265495,494116980
213,Lavalley,Glen,M,Prince George,33,2006,5141341297,811111140
214,Bryant,Minerva,F,Cassiar,29,2014,5144771254,498914815
215,Elmore,Alfred,M,Victoria,43,2018,4038061980,508629579
216,Johnson,Billy,M,Surrey,30,2014,6044671466,369456243
217,Ceaser,Mary,F,Vancouver,37,2010,2048743610,946951041
218,Collier,Steven,M,Vancouver,28,2017,6048938576,149741008
219,Aaron,Michael,M,Victoria,32,2006,4186880850,147245130
220,Moultrie,Kevin,M,Victoria,33,2011,6136233937,893201682
221,Witt,Melissa,F,Kelowna,48,2008,4182773855,132164135
222,Duvall,Gina,F,Vancouver,38,2018,2042407224,694123698
223,Willard,Jeffrey,M,Surrey,40,2016,9027993441,998623961
224,Jacobs,Thomas,M,Victoria,40,2005,6041162749,956140070
225,Lopes,Larry,M,Pender Harbour,48,2002,4185552901,768040014
226,Wolfram,Betty,F,New Westminster,35,2010,4039452117,791539633
227,Dunn,Heather,F,Kamloops,39,2011,9025009065,996598153
228,Kroon,Brent,M,Vancouver,47,2015,6131743208,819430684
229,Finke,Michael,M,Victoria,28,2004,4038359604,257191637
230,Hulett,Florence,F,Parksville,32,2011,9025513636,951724744
231,Ponce,Melanie,F,Kamloops,27,2009,4165247470,377014683
232,Ellis,Jeri,F,Quesnel,31,2009,4181925614,640170628
233,Cox,Conrad,M,Vancouver,39,2005,6044081779,408394885
234,Smith,Raymond,M,New Westminster,38,2009,2048591241,441614224
235,Banks,Ryan,M,New Westminster,47,2004,3069956587,783308182
236,Kendall,Bernadette,F,Richmond,41,2017,4183072084,793221655
237,Fernandez,Brian,M,West Vancouver,28,2018,4189046474,815928467
238,Labrie,Vicky,F,Mcleese Lake,31,2003,2044793666,770047868
239,Ash,Christopher,M,Surrey,45,2008,4031502630,535934709
240,Salisbury,Susan,F,Fort St John,40,2008,4033871949,430017252
241,Healy,Ann,F,Campbell River,28,2006,2042231013,708883686
242,Blake,Edward,M,West Vancouver,35,2016,6044767586,150595651
243,Vega,Yoshiko,F,Wells,28,2018,4183822567,519273239
244,Hamlin,Francis,F,New Westminister,46,2003,6043766941,702100351
245,Adams,Andre,M,Vancouver,47,2014,9023019505,392383329
246,Carruth,Mary,F,Manning Park,28,2013,2048364462,552095699
247,Turner,Robert,M,Vancouver,34,2010,2044745099,735887742
248,Norris,Kristin,F,Decker Lake,39,2003,3064875035,740420397
249,Wiley,Mary,F,Salmon Arm,42,2016,4031887624,367265262
250,Francis,Jocelyn,F,Victoria,41,2013,3062351522,387173420
251,Goff,Phillip,M,Burnaby,45,2013,4168582368,893163526
252,Reese,Amanda,F,Prince George,26,2007,3068040452,811367864
253,Keating,David,M,Sooke,38,2012,4187578802,621048081
254,McLaren,Francis,M,Vernon,41,2008,6138665941,208715436
255,Colucci,Evelyn,F,Prince George,43,2009,4033723232,749656080
256,Wilson,Beverly,F,Horsefly,33,2018,4033774855,957546810
257,Thomas,Ramon,M,Invermere,42,2003,5143737419,302844959
258,Barnard,Georgia,F,Creston,30,2003,4188464468,161972398
259,Perez,Erin,F,New Westminster,44,2011,6133864965,496953055
260,Lindo,Susan,F,Topley,32,2014,4169865193,549361234
261,Furman,David,M,Aldergrove,47,2002,4188879116,577125820
262,Neill,Kelly,M,Vancouver,37,2003,3063103994,435729849
263,Hilyard,Brian,M,Vancouver,28,2002,6047271616,901895449
264,Harder,Gary,M,Armstrong,40,2003,9029304670,747822218
265,Goode,Todd,M,Field,41,2006,4161638604,489630550
266,Dunn,Barbara,F,New Westminster,27,2012,9027299388,928456803
267,Leblanc,Louis,M,Youbou,37,2013,6044288523,749935701
268,Geist,Gregory,M,Fort St John,25,2013,6048515816,164413368
269,McCann,Hazel,F,Kelowna,27,2004,2046054288,276850433
270,Logan,James,M,Nanaimo,43,2009,4168876297,487481860
271,Salinas,Ernest,M,Bowen Island,39,2003,6138152635,198868293
272,Sherman,Viola,F,Surrey,29,2007,4166856027,227103691
273,Santo,Hubert,M,Sorrento,41,2011,4167709094,985061737
274,Knotts,James,M,Vancouver,32,2005,5148679718,354462323
275,Gaddy,Tracy,M,Vancouver,49,2017,2048040240,443588018
276,Holloway,Louisa,F,Surrey,48,2010,4187957465,255264831
277,Fralick,Thelma,F,Victoria,36,2015,3061241772,231771777
278,Lamm,Breanna,F,Victoria,47,2017,6047572981,519795248
279,Gregor,William,M,Vancouver,25,2016,3067973919,817263114
280,Galligan,Gloria,F,Vancouver,45,2009,9022272683,679249109
281,Wilson,Frank,M,Victoria,49,2010,9021420301,904442593
282,Tice,Andre,M,Victoria,31,2015,3062509401,381317491
283,Weaver,Phillip,M,Prince George,25,2016,4166835177,574070787
284,Marshall,Gwendolyn,F,Merritt,36,2003,6049668507,496865274
285,Braud,Alfonso,M,Crawford Bay,29,2016,2049739170,272371950
286,Kelleher,Latonya,F,Richmond,33,2002,6133432069,265903748
287,Gorski,Henrietta,F,Rossland,34,2010,2041874042,447091883
288,Murray,Jennifer,F,New Westminster,38,2011,4183591309,843128070
289,Neill,Harry,M,Victoria,47,2016,9027222085,900319821
290,Gelinas,Michael,M,Sidney,39,2018,9025302197,901396103
291,Hansen,Earl,M,New Westminster,36,2007,9027872699,238859916
292,Russo,Lisa,F,Kamloops,46,2017,4039581996,925325323
293,Higginbotham,John,M,Castlegar,45,2012,2045717487,729938919
294,Hollen,Joseph,M,Vancouver,45,2015,5146609601,194497856
295,Utter,Charles,M,Williams Lake,31,2009,2044538870,756063942
296,Crafton,Nancy,F,Vancouver,49,2008,6044592983,196245781
297,Curtis,Freida,F,New Westminster,27,2013,3061482843,430108369
298,Ashley,Bernice,F,Kelowna,25,2011,6048548068,224220236
299,Neal,Amanda,F,Pender Harbour,29,2002,4185203129,537488681
300,Courtois,Dennis,M,Victoria,36,2011,3068449448,208289678
301,Mobley,Willie,M,Quesnel,40,2013,6132174035,432114579
302,Noriega,Mary,F,Spences Bridge,27,2017,6135456727,824630268
303,Moore,William,M,Vancouver,40,2004,4183423239,180105557
304,Barrientez,Xavier,M,New Westminster,31,2009,6133479385,538273505
305,Ingram,Kenneth,M,West Vancouver,36,2018,9028178405,500468468
306,Ober,Steven,M,Richmond,49,2009,9027238887,606509199
307,Hull,Craig,M,New Westminster,29,2012,5146063057,505506833
308,Davis,Lori,F,Vancouver,28,2014,6044774641,961319335
309,Sands,Diane,F,Vancouver,30,2006,9021225693,524252055
310,Watts,Ismael,M,Aldergrove,29,2004,4183311030,230661978
311,Lynch,Raymond,M,Langley,37,2018,2045306517,726337365
312,Gerard,Kenneth,M,Willow Point,28,2008,6042463545,734852687
313,Daniel,Jennifer,F,Vancouver,27,2011,4181428320,844719929
314,Guzman,Sharon,F,Langley,31,2006,6048688118,161737289
315,Carbaugh,Monica,F,Abbotsford,27,2012,4038489070,789022840
316,Espinoza,Steven,M,Penticton,43,2006,4038676126,116581899
317,Mills,Tiffany,F,Vancouver,38,2013,3068217503,965629646
318,Chamness,Richard,M,New Westminster,44,2003,4162701363,400432469
319,Bricker,Jacqueline,F,Port Coquitlam,36,2003,4032001094,793243897
320,Yokoyama,Jorge,M,Kelowna,48,2009,4036056566,779844867
321,Jackson,Justin,M,Vancouver,37,2016,3062836015,689942861
322,Gomez,Irene,F,Vancouver,45,2010,4036989599,591192833
323,Cromer,Arthur,M,Nelson,40,2006,6132687392,784973267
324,Davis,Michael,M,Vancouver,46,2004,6041872635,715701762
325,Snowden,Linda,F,Vancouver,34,2018,4168594506,952909082
326,Helton,Mary,F,Surrey,40,2015,3064112267,671638657
327,Shockley,Franklin,M,North Vancouver,34,2013,2047017912,133508861
328,Johnstone,Armand,M,Richmond,42,2003,6134537287,386414064
329,Linder,Janice,F,North Vancouver,41,2004,3066761161,440620567
330,Gonzalez,Rodney,M,Aldergrove,25,2004,9022974503,275218875
331,Stalder,Lawrence,M,Woss,31,2004,2044447136,917332913
332,Price,Daisy,F,New Westminster,39,2015,3064729853,922617334
333,Olson,Ronald,M,Cobble Hill,41,2002,4182044384,682345316
334,Collins,Timothy,M,Lac La Hache,32,2002,6048372080,189805092
335,Clay,William,M,Victoria,31,2006,4039445161,316545244
336,Davis,Paul,M,Bob Quinn Lake,26,2018,5149875116,834313664
337,Snow,Darwin,M,Muncho Lake,34,2010,4166215137,739129970
338,Giuliani,Philip,M,Hedley,40,2015,5144264391,993124428
339,Kwan,Mary,F,Sardis,49,2017,4185081285,720393568
340,Moody,Bebe,F,Gold Bridge,46,2007,4164057874,694849945
341,Burg,Eleanor,F,Victoria,42,2014,9025803326,765670377
342,Zamora,Frances,F,Sparwood,32,2015,5147967938,973664815
343,Campbell,Jeremiah,M,Port Mcneill,45,2016,4035184533,341705185
344,Alvarado,Anabel,F,Fort St John,49,2014,6042648723,500694886
345,Hughes,Margaret,F,Salmon Valley,40,2007,5148333967,289608693
346,Collins,Grace,F,Squamish,34,2003,4033387210,476971245
347,Cunningham,Lisa,F,New Westminster,48,2003,9029773195,207651868
348,Corcoran,Cassandra,F,Victoria,47,2013,6138793187,893634474
349,Stier,Amy,F,Victoria,41,2016,3064756816,511974467
350,Horton,Samuel,M,Kelowna,33,2006,6131350613,453175019
351,Jones,Jorge,M,Vancouver,30,2015,3064212242,786832244
352,Davenport,Leonard,M,Vancouver,46,2018,3069787882,405516172
353,Mullen,David,M,Vancouver,46,2007,4183847985,820057996
354,Dobbs,Samuel,M,Surrey,35,2006,6049379892,878444811
355,Mendez,Linda,F,Vancouver,49,2013,4169283598,142395557
356,Hedges,Edward,M,Richmond,43,2018,6135405562,828538760
357,Feldman,Troy,M,Chilliwack,25,2011,9021738778,906599455
358,Booth,Blanca,F,Abbotsford,47,2011,2049923820,555133652
359,Cummings,Lance,M,New Westminister,39,2011,4189727880,394537556
360,Bober,Colleen,F,Agassiz,31,2013,6042829383,166717915
361,Shaffer,Justin,M,Bob Quinn Lake,29,2010,6135536835,897675438
362,Reyes,Lauren,F,Vancouver,42,2009,2049094208,198526798
363,Calles,Mary,F,Fort Langley,44,2009,2043228624,264771726
364,Rowen,Todd,M,Horsefly,36,2007,3069775895,250335093
365,Meadows,Carlos,M,Kelowna,34,2014,9028504968,561821427
366,Hurlburt,Robert,M,Avola,47,2015,9027042096,823464756
367,Castillo,Angela,F,Bear Lake,33,2012,3065795595,580243513
368,Noriega,Diane,F,New Westminister,33,2018,6138866798,709893161
369,Honaker,George,M,Cobble Hill,28,2013,9021823410,586574534
370,Westman,Stacy,M,Nanaimo,25,2016,9028162040,284195200
371,Kuntz,Daniel,M,North Vancouver,46,2013,4162504299,523534118
372,Alonzo,Janette,F,Vancouver,46,2006,4181742171,764281042
373,Walker,Yvette,F,Victoria,32,2016,4034949447,547315218
374,Garcia,Maria,F,Williams Lake,46,2009,4189267280,596069523
375,Myers,Patrick,M,Fauquier,36,2012,9022165347,396636632
376,Martinez,Esther,F,Brackendale,42,2003,2044834688,325028245
377,Norman,Willie,M,Nanaimo,34,2018,4034439010,197497515
378,March,Joseph,M,Victoria,35,2013,4163268172,568632479
379,Hays,Danny,M,Victoria,28,2018,4037592649,879187520
380,Patterson,Ryan,M,Quesnel,33,2008,5143463865,858875226
381,Joyce,Steve,M,Skookumchuck,36,2008,5146101826,639605647
382,Greenberg,Tami,F,Kamloops,38,2015,4161168700,335909149
383,Wood,Roland,M,Huntingdon,49,2008,3069966977,539370698
384,Staub,Carrie,F,Victoria,35,2002,2045966233,654653566
385,Crisp,Salvador,M,Hedley,39,2003,6046043741,175581907
386,Drayton,Megan,F,Prince George,31,2015,9027957348,430069958
387,Morris,Francisco,M,New Westminster,44,2002,6042566145,192292268
388,Stanko,Rose,F,Cranbrook,47,2009,4037125920,414000480
389,Pollard,Katie,F,Gibsons,49,2005,4187692287,915684503
390,Lietz,Katrina,F,Nanaimo,43,2008,2047374349,852023756
391,Carpentier,William,M,Vancouver,26,2018,3066154292,201857872
392,Johnson,Jennifer,F,Vancouver,43,2003,4037392954,257959908
393,McCloud,Michael,M,Britannia Beach,32,2005,4169395031,689579054
394,Martin,Jose,M,Parksville,26,2007,3065186646,790976089
395,Navarrete,Leonard,M,Kamloops,33,2005,4163097212,747588492
396,Buendia,Georgia,F,Campbell River,34,2009,4163717964,989775310
397,Cook,Joseph,M,Comox,26,2017,4185484685,165711171
398,Winship,Linda,F,Victoria,28,2012,2047433437,729575093
399,Velez,Lori,F,Aldergrove,27,2017,6041258592,246206191
400,Paxson,James,M,Chilliwack,32,2008,5145226390,480934138
401,Foster,Robert,M,Victoria,30,2018,9026472995,262004627
402,Acevedo,Earl,M,Vancouver,28,2002,3061191173,727262625
403,Oneal,Nancy,F,Decker Lake,39,2006,9029870986,818436186
404,Hunter,Margaret,F,Brackendale,48,2010,4184492469,717266761
405,Miranda,Sonya,F,Victoria,33,2016,5145997098,313417464
406,Hernandez,Walter,M,Vancouver,34,2017,6132879852,238394390
407,Russell,Linda,F,Vancouver,41,2009,9026972398,663169965
408,Howard,Ruby,F,Port Hardy,27,2013,4035242749,822147429
409,Pickett,Marta,F,Burnaby,47,2013,9024333930,306931747
410,McDonald,Raquel,F,Williams Lake,28,2005,4039682665,942243189
411,Usher,Clifton,M,Vancouver,46,2014,9025570430,634563111
412,Click,Audra,F,Burnaby,48,2018,4038239966,552137091
413,Whitman,Gary,M,Dawson Creek,38,2009,4034246091,918560183
414,Vargas,Susan,F,Flatrock,35,2016,2043980925,737031802
415,Owen,Jay,M,Abbotsford,32,2012,4165211850,207108555
416,Hayes,Eric,M,Vancouver,38,2018,9026795066,125194424
417,Creighton,Marie,F,Sechelt,34,2013,2048485641,655940430
418,Briones,Karin,F,Princeton,42,2004,4168699559,550390212
419,Kent,Charles,M,Kelowna,44,2008,4163705072,778437446
